Time;Px;Py;Pz;Vx;Vy;Vz;V;Ax;Ay;Az;A
0,004497894;-0,8221362;2,593986;-0,75983;0,9995503;18,64596;499,4256;499,774517819198;-0,09995503;-11,6746;-49,94256;51,2890371282494
0,004538962;-0,8205126;2,594752;-0,7393806;0,9995462;18,64548;499,4235;499,772426203513;-0,09995462;-11,67455;-49,94235;51,2888254706813
0,004572361;-0,8191922;2,595374;-0,7227502;0,9995429;18,64509;499,4218;499,770764810651;-0,09995428;-11,67451;-49,94218;51,2886531295558
0,0046044;-0,8179256;2,595972;-0,7067969;0,9995397;18,64472;499,4202;499,769134554928;-0,09995397;-11,67447;-49,94202;51,2884886517334
0,004636283;-0,8166651;2,596566;-0,6909215;0,9995365;18,64435;499,4186;499,76753486683;-0,09995365;-11,67443;-49,94186;51,2883241738964
0,004671638;-0,8152673;2,597225;-0,6733172;0,9995329;18,64394;499,4169;499,765750706445;-0,09995329;-11,67439;-49,94169;51,2881439694679
0,004702732;-0,814038;2,597805;-0,6578348;0,9995298;18,64357;499,4153;499,764181799885;-0,09995299;-11,67436;-49,94153;51,2879834232897
0,00473871;-0,8126158;2,598476;-0,6399205;0,9995263;18,64315;499,4135;499,762397355224;-0,09995262;-11,67432;-49,94135;51,2877992872169
0,004771067;-0,8113365;2,599079;-0,6238091;0,999523;18,64277;499,4119;499,760766958103;-0,0999523;-11,67428;-49,94119;51,2876345923011
0,004803971;-0,8100357;2,599692;-0,6074255;0,9995197;18,64239;499,4103;499,759105851457;-0,09995198;-11,67424;-49,94103;51,2874661828199
0,004841642;-0,8085464;2,600395;-0,5886681;0,999516;18,64195;499,4084;499,757198639401;-0,0999516;-11,6742;-49,94084;51,2872704689077
0,004873855;-0,8072729;2,600995;-0,5726287;0,9995127;18,64157;499,4068;499,755568314185;-0,09995127;-11,67416;-49,94068;51,2871057739919
0,00490718;-0,8059555;2,601616;-0,5560355;0,9995094;18,64119;499,4051;499,753906994632;-0,09995094;-11,67412;-49,94051;51,2869373644962
0,004942961;-0,8045409;2,602283;-0,5382197;0,9995058;18,64077;499,4033;499,752092126252;-0,09995058;-11,67408;-49,94033;51,2867532284379
0,004974653;-0,8032881;2,602874;-0,52244;0,9995027;18,6404;499,4017;499,750492511492;-0,09995027;-11,67404;-49,94017;51,2865887506154
0,00501207;-0,8018088;2,603572;-0,5038097;0,9994989;18,63996;499,3999;499,748615939238;-0,0999499;-11,674;-49,93999;51,2863967512687
0,005044717;-0,8005183;2,60418;-0,4875543;0,9994957;18,63958;499,3983;499,746985401655;-0,09994957;-11,67396;-49,93983;51,2862320563384
0,005076984;-0,7992426;2,604782;-0,4714882;0,9994924;18,6392;499,3966;499,745355077576;-0,09994925;-11,67392;-49,93966;51,2860638639505
0,005109216;-0,7979684;2,605382;-0,4554396;0,9994892;18,63883;499,395;499,743724682677;-0,09994892;-11,67388;-49,9395;51,2858991690202
0,005143953;-0,7965952;2,60603;-0,438144;0,9994857;18,63842;499,3933;499,741971306449;-0,09994858;-11,67384;-49,93933;51,2857228962504
0,005180919;-0,7951338;2,606719;-0,4197383;0,999482;18,63799;499,3914;499,74012537409;-0,09994821;-11,6738;-49,93914;51,2855308969036
0,005213004;-0,7938654;2,607317;-0,4037633;0,9994788;18,63762;499,3898;499,738495122106;-0,09994788;-11,67376;-49,93898;51,2853664190667
0,005246809;-0,792529;2,607947;-0,3869317;0,9994755;18,63722;499,3882;499,736803095046;-0,09994755;-11,67372;-49,93882;51,2851940779412
0,005278954;-0,7912583;2,608546;-0,3709266;0,9994723;18,63684;499,3865;499,735172772335;-0,09994723;-11,67368;-49,93866;51,2850293830254
0,005311099;-0,7899876;2,609145;-0,3549218;0,999469;18,63647;499,3849;499,733573017242;-0,0999469;-11,67365;-49,9385;51,2848649051739
0,00535279;-0,7883394;2,609922;-0,3341639;0,9994649;18,63598;499,3829;499,731481123199;-0,09994649;-11,6736;-49,93829;51,2846495330549
0,005461151;-0,7840558;2,611941;-0,2802119;0,999454;18,63472;499,3774;499,726005533577;-0,0999454;-11,67347;-49,93774;51,2840931932213
0,005498439;-0,7825817;2,612636;-0,2616467;0,9994503;18,63428;499,3756;499,72412903607;-0,09994503;-11,67343;-49,93756;51,2839051255043
0,005534381;-0,781161;2,613306;-0,2437518;0,9994467;18,63386;499,3738;499,722344596805;-0,09994467;-11,67339;-49,93738;51,283720989446
0,005567614;-0,7798473;2,613925;-0,2272058;0,9994434;18,63348;499,3721;499,72065285644;-0,09994434;-11,67335;-49,93721;51,2835486483205
0,005599935;-0,7785696;2,614527;-0,2111137;0,9994401;18,6331;499,3705;499,719022464474;-0,09994402;-11,67331;-49,93705;51,2833841704836
0,005631979;-0,7773029;2,615124;-0,1951594;0,999437;18,63272;499,3689;499,717422711479;-0,0999437;-11,67327;-49,93689;51,2832194755678
0,005666242;-0,7759484;2,615763;-0,1781008;0,9994335;18,63232;499,3672;499,715699977261;-0,09994335;-11,67323;-49,93672;51,283043202798
0,005699737;-0,7746243;2,616387;-0,1614244;0,9994302;18,63193;499,3655;499,714008095384;-0,09994302;-11,67319;-49,93655;51,2828708616725
0,005736825;-0,7731583;2,617078;-0,1429591;0,9994265;18,6315;499,3637;499,7121316707;-0,09994265;-11,67315;-49,93637;51,2826827939555
0,005769614;-0,7718621;2,617689;-0,1266341;0,9994232;18,63112;499,3621;499,710501066447;-0,09994232;-11,67311;-49,93621;51,2825143844743
0,005804608;-0,7704788;2,618341;-0,1092117;0,9994197;18,63071;499,3603;499,708717055973;-0,09994197;-11,67307;-49,93603;51,2823341800603
0,00583956;-0,7690971;2,618992;-0,09180999;0,9994162;18,6303;499,3586;499,706963542151;-0,09994163;-11,67303;-49,93586;51,2821539756608
0,005871621;-0,7678298;2,619589;-0,0758481;0,999413;18,62993;499,357;499,705363790517;-0,09994131;-11,67299;-49,9357;51,2819894978238
0,005902452;-0,7666111;2,620164;-0,06049824;0,9994099;18,62957;499,3554;499,703795033377;-0,09994099;-11,67296;-49,93554;51,281832666182
0,005939778;-0,7651356;2,620859;-0,04191494;0,9994062;18,62913;499,3535;499,701918539031;-0,09994062;-11,67291;-49,93536;51,2816408839141
0,005971831;-0,7638686;2,621456;-0,02595687;0,999403;18,62876;499,352;499,700318788014;-0,0999403;-11,67288;-49,9352;51,2814761889983
0,006007746;-0,7624489;2,622125;-0,008076191;0,9993994;18,62834;499,3502;499,698503855846;-0,09993994;-11,67283;-49,93502;51,28129205294
0,006039201;-0,7612056;2,622711;0,007584095;0,9993963;18,62797;499,3486;499,69690438978;-0,09993963;-11,6728;-49,93486;51,2811315067473
0,006072651;-0,7598833;2,623334;0,02423739;0,9993929;18,62758;499,3469;499,695243006608;-0,09993929;-11,67276;-49,93469;51,2809591656218
0,00610484;-0,7586108;2,623934;0,04026318;0,9993897;18,6272;499,3453;499,693612689004;-0,09993897;-11,67272;-49,93453;51,2807946877848
0,006139398;-0,7572449;2,624578;0,0574677;0,9993863;18,6268;499,3436;499,691889815709;-0,09993862;-11,67268;-49,93436;51,2806181979218
0,006175658;-0,7558116;2,625253;0,07552004;0,9993826;18,62638;499,3418;499,690044317174;-0,09993827;-11,67264;-49,93418;51,2804303473126
0,006206906;-0,7545764;2,625835;0,09107685;0,9993795;18,62601;499,3402;499,688475348546;-0,09993795;-11,6726;-49,93402;51,2802698011199
0,006239425;-0,753291;2,626441;0,1072667;0,9993762;18,62563;499,3386;499,686844889461;-0,09993763;-11,67256;-49,93386;51,2801051061896
0,00627184;-0,7520097;2,627044;0,1234045;0,999373;18,62526;499,337;499,685214501794;-0,0999373;-11,67253;-49,9337;51,2799366967228
0,006303966;-0,7507398;2,627643;0,1393983;0,9993698;18,62488;499,3354;499,683584185421;-0,09993698;-11,67249;-49,93354;51,2797722188859
0,006347343;-0,7490252;2,628451;0,1609931;0,9993654;18,62437;499,3332;499,68140009913;-0,09993654;-11,67244;-49,93332;51,2795489834493
0,006381784;-0,7476639;2,629092;0,1781392;0,9993621;18,62397;499,3315;499,679677298664;-0,0999362;-11,6724;-49,93315;51,2793727106796
0,00641473;-0,7463616;2,629706;0,1945412;0,9993587;18,62359;499,3298;499,678016130974;-0,09993587;-11,67236;-49,93298;51,2792040841195
0,006447587;-0,7450628;2,630318;0,2108989;0,9993554;18,6232;499,3282;499,676355034701;-0,09993555;-11,67232;-49,93282;51,2790356746383
